hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240307,01,10,1-6-5,0,1,A2,6.14,24.32,0.07,4.0,3.0,58.9,6,B1,5.53,33.33,0.07,3.0,3.0,5,B1,51.28,0.24,1.0,5.0,0.0,57.65,0,0,5.0,5.0,0,0
20240307,01,10,2-1-3,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,1,A2,6.14,24.32,0.07,4.0,3.0,3,A2,48.72,0.0002,5.0,1.0,-0.030000000000000006,60.43,0,1,5.0,5.0,0,0
20240307,01,10,2-1-4,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,1,A2,6.14,24.32,0.07,4.0,3.0,4,B1,27.5,0.12,2.0,4.0,-0.030000000000000006,60.43,0,1,5.0,5.0,0,0
20240307,01,10,2-1-5,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,1,A2,6.14,24.32,0.07,4.0,3.0,5,B1,51.28,0.24,1.0,5.0,-0.030000000000000006,60.43,0,1,5.0,5.0,0,0
20240307,01,10,2-1-6,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,1,A2,6.14,24.32,0.07,4.0,3.0,6,B1,33.33,0.07,3.0,3.0,-0.030000000000000006,60.43,0,1,5.0,5.0,0,0
20240307,01,10,2-3-1,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,3,A2,6.45,48.72,0.0002,5.0,1.0,1,A2,24.32,0.07,4.0,3.0,0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,2-3-4,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,3,A2,6.45,48.72,0.0002,5.0,1.0,4,B1,27.5,0.12,2.0,4.0,0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,2-3-5,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,3,A2,6.45,48.72,0.0002,5.0,1.0,5,B1,51.28,0.24,1.0,5.0,0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,2-3-6,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,3,A2,6.45,48.72,0.0002,5.0,1.0,6,B1,33.33,0.07,3.0,3.0,0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,2-4-1,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,4,B1,3.61,27.5,0.12,2.0,4.0,1,A2,24.32,0.07,4.0,3.0,-0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,2-4-3,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,4,B1,3.61,27.5,0.12,2.0,4.0,3,A2,48.72,0.0002,5.0,1.0,-0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,2-4-5,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,4,B1,3.61,27.5,0.12,2.0,4.0,5,B1,51.28,0.24,1.0,5.0,-0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,2-4-6,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,4,B1,3.61,27.5,0.12,2.0,4.0,6,B1,33.33,0.07,3.0,3.0,-0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,2-5-1,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,5,B1,4.35,51.28,0.24,1.0,5.0,1,A2,24.32,0.07,4.0,3.0,-0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,2-5-3,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,5,B1,4.35,51.28,0.24,1.0,5.0,3,A2,48.72,0.0002,5.0,1.0,-0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,2-5-4,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,5,B1,4.35,51.28,0.24,1.0,5.0,4,B1,27.5,0.12,2.0,4.0,-0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,2-5-6,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,5,B1,4.35,51.28,0.24,1.0,5.0,6,B1,33.33,0.07,3.0,3.0,-0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,2-6-1,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,6,B1,5.53,33.33,0.07,3.0,3.0,1,A2,24.32,0.07,4.0,3.0,-0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,2-6-3,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,6,B1,5.53,33.33,0.07,3.0,3.0,3,A2,48.72,0.0002,5.0,1.0,-0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,2-6-4,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,6,B1,5.53,33.33,0.07,3.0,3.0,4,B1,27.5,0.12,2.0,4.0,-0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,2-6-5,0,2,A2,4.85,36.11,0.04,6.0,2.0,9.6,6,B1,5.53,33.33,0.07,3.0,3.0,5,B1,51.28,0.24,1.0,5.0,-0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,3-1-2,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,1,A2,6.14,24.32,0.07,4.0,3.0,2,A2,36.11,0.04,6.0,2.0,-0.0698,73.03999999999999,0,1,5.0,5.0,0,0
20240307,01,10,3-1-4,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,1,A2,6.14,24.32,0.07,4.0,3.0,4,B1,27.5,0.12,2.0,4.0,-0.0698,73.03999999999999,0,1,5.0,5.0,0,0
20240307,01,10,3-1-5,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,1,A2,6.14,24.32,0.07,4.0,3.0,5,B1,51.28,0.24,1.0,5.0,-0.0698,73.03999999999999,0,1,5.0,5.0,0,0
20240307,01,10,3-1-6,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,1,A2,6.14,24.32,0.07,4.0,3.0,6,B1,33.33,0.07,3.0,3.0,-0.0698,73.03999999999999,0,1,5.0,5.0,0,0
20240307,01,10,3-2-1,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,2,A2,4.85,36.11,0.04,6.0,2.0,1,A2,24.32,0.07,4.0,3.0,-0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,3-2-4,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,2,A2,4.85,36.11,0.04,6.0,2.0,4,B1,27.5,0.12,2.0,4.0,-0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,3-2-5,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,2,A2,4.85,36.11,0.04,6.0,2.0,5,B1,51.28,0.24,1.0,5.0,-0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,3-2-6,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,2,A2,4.85,36.11,0.04,6.0,2.0,6,B1,33.33,0.07,3.0,3.0,-0.0398,84.83,0,0,5.0,5.0,0,0
20240307,01,10,3-4-1,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,4,B1,3.61,27.5,0.12,2.0,4.0,1,A2,24.32,0.07,4.0,3.0,-0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,3-4-2,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,4,B1,3.61,27.5,0.12,2.0,4.0,2,A2,36.11,0.04,6.0,2.0,-0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,3-4-5,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,4,B1,3.61,27.5,0.12,2.0,4.0,5,B1,51.28,0.24,1.0,5.0,-0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,3-4-6,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,4,B1,3.61,27.5,0.12,2.0,4.0,6,B1,33.33,0.07,3.0,3.0,-0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,3-5-1,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,5,B1,4.35,51.28,0.24,1.0,5.0,1,A2,24.32,0.07,4.0,3.0,-0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,3-5-2,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,5,B1,4.35,51.28,0.24,1.0,5.0,2,A2,36.11,0.04,6.0,2.0,-0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,3-5-4,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,5,B1,4.35,51.28,0.24,1.0,5.0,4,B1,27.5,0.12,2.0,4.0,-0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,3-5-6,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,5,B1,4.35,51.28,0.24,1.0,5.0,6,B1,33.33,0.07,3.0,3.0,-0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,3-6-1,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,6,B1,5.53,33.33,0.07,3.0,3.0,1,A2,24.32,0.07,4.0,3.0,-0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,3-6-2,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,6,B1,5.53,33.33,0.07,3.0,3.0,2,A2,36.11,0.04,6.0,2.0,-0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,3-6-4,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,6,B1,5.53,33.33,0.07,3.0,3.0,4,B1,27.5,0.12,2.0,4.0,-0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,3-6-5,0,3,A2,6.45,48.72,0.0002,5.0,1.0,16.3,6,B1,5.53,33.33,0.07,3.0,3.0,5,B1,51.28,0.24,1.0,5.0,-0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,4-1-2,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,1,A2,6.14,24.32,0.07,4.0,3.0,2,A2,36.11,0.04,6.0,2.0,0.04999999999999999,51.82,0,1,5.0,5.0,0,0
20240307,01,10,4-1-3,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,1,A2,6.14,24.32,0.07,4.0,3.0,3,A2,48.72,0.0002,5.0,1.0,0.04999999999999999,51.82,0,1,5.0,5.0,0,0
20240307,01,10,4-1-5,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,1,A2,6.14,24.32,0.07,4.0,3.0,5,B1,51.28,0.24,1.0,5.0,0.04999999999999999,51.82,0,1,5.0,5.0,0,0
20240307,01,10,4-1-6,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,1,A2,6.14,24.32,0.07,4.0,3.0,6,B1,33.33,0.07,3.0,3.0,0.04999999999999999,51.82,0,1,5.0,5.0,0,0
20240307,01,10,4-2-1,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,2,A2,4.85,36.11,0.04,6.0,2.0,1,A2,24.32,0.07,4.0,3.0,0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,4-2-3,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,2,A2,4.85,36.11,0.04,6.0,2.0,3,A2,48.72,0.0002,5.0,1.0,0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,4-2-5,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,2,A2,4.85,36.11,0.04,6.0,2.0,5,B1,51.28,0.24,1.0,5.0,0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,4-2-6,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,2,A2,4.85,36.11,0.04,6.0,2.0,6,B1,33.33,0.07,3.0,3.0,0.07999999999999999,63.61,0,0,5.0,5.0,0,0
20240307,01,10,4-3-1,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,3,A2,6.45,48.72,0.0002,5.0,1.0,1,A2,24.32,0.07,4.0,3.0,0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,4-3-2,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,3,A2,6.45,48.72,0.0002,5.0,1.0,2,A2,36.11,0.04,6.0,2.0,0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,4-3-5,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,3,A2,6.45,48.72,0.0002,5.0,1.0,5,B1,51.28,0.24,1.0,5.0,0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,4-3-6,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,3,A2,6.45,48.72,0.0002,5.0,1.0,6,B1,33.33,0.07,3.0,3.0,0.11979999999999999,76.22,0,0,5.0,5.0,0,0
20240307,01,10,4-5-1,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,5,B1,4.35,51.28,0.24,1.0,5.0,1,A2,24.32,0.07,4.0,3.0,-0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,4-5-2,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,5,B1,4.35,51.28,0.24,1.0,5.0,2,A2,36.11,0.04,6.0,2.0,-0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,4-5-3,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,5,B1,4.35,51.28,0.24,1.0,5.0,3,A2,48.72,0.0002,5.0,1.0,-0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,4-5-6,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,5,B1,4.35,51.28,0.24,1.0,5.0,6,B1,33.33,0.07,3.0,3.0,-0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,4-6-1,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,6,B1,5.53,33.33,0.07,3.0,3.0,1,A2,24.32,0.07,4.0,3.0,0.04999999999999999,60.83,0,0,5.0,5.0,0,0
20240307,01,10,4-6-2,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,6,B1,5.53,33.33,0.07,3.0,3.0,2,A2,36.11,0.04,6.0,2.0,0.04999999999999999,60.83,0,0,5.0,5.0,0,0
20240307,01,10,4-6-3,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,6,B1,5.53,33.33,0.07,3.0,3.0,3,A2,48.72,0.0002,5.0,1.0,0.04999999999999999,60.83,0,0,5.0,5.0,0,0
20240307,01,10,4-6-5,0,4,B1,3.61,27.5,0.12,2.0,4.0,2.0,6,B1,5.53,33.33,0.07,3.0,3.0,5,B1,51.28,0.24,1.0,5.0,0.04999999999999999,60.83,0,0,5.0,5.0,0,0
20240307,01,10,5-1-2,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,1,A2,6.14,24.32,0.07,4.0,3.0,2,A2,36.11,0.04,6.0,2.0,0.16999999999999998,75.6,0,1,5.0,5.0,0,0
20240307,01,10,5-1-3,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,1,A2,6.14,24.32,0.07,4.0,3.0,3,A2,48.72,0.0002,5.0,1.0,0.16999999999999998,75.6,0,1,5.0,5.0,0,0
20240307,01,10,5-1-4,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,1,A2,6.14,24.32,0.07,4.0,3.0,4,B1,27.5,0.12,2.0,4.0,0.16999999999999998,75.6,0,1,5.0,5.0,0,0
20240307,01,10,5-1-6,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,1,A2,6.14,24.32,0.07,4.0,3.0,6,B1,33.33,0.07,3.0,3.0,0.16999999999999998,75.6,0,1,5.0,5.0,0,0
20240307,01,10,5-2-1,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,2,A2,4.85,36.11,0.04,6.0,2.0,1,A2,24.32,0.07,4.0,3.0,0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,5-2-3,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,2,A2,4.85,36.11,0.04,6.0,2.0,3,A2,48.72,0.0002,5.0,1.0,0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,5-2-4,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,2,A2,4.85,36.11,0.04,6.0,2.0,4,B1,27.5,0.12,2.0,4.0,0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,5-2-6,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,2,A2,4.85,36.11,0.04,6.0,2.0,6,B1,33.33,0.07,3.0,3.0,0.19999999999999998,87.39,0,0,5.0,5.0,0,0
20240307,01,10,5-3-1,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,3,A2,6.45,48.72,0.0002,5.0,1.0,1,A2,24.32,0.07,4.0,3.0,0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,5-3-2,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,3,A2,6.45,48.72,0.0002,5.0,1.0,2,A2,36.11,0.04,6.0,2.0,0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,5-3-4,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,3,A2,6.45,48.72,0.0002,5.0,1.0,4,B1,27.5,0.12,2.0,4.0,0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,5-3-6,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,3,A2,6.45,48.72,0.0002,5.0,1.0,6,B1,33.33,0.07,3.0,3.0,0.23979999999999999,100.0,0,0,5.0,5.0,0,0
20240307,01,10,5-4-1,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,4,B1,3.61,27.5,0.12,2.0,4.0,1,A2,24.32,0.07,4.0,3.0,0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,5-4-2,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,4,B1,3.61,27.5,0.12,2.0,4.0,2,A2,36.11,0.04,6.0,2.0,0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,5-4-3,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,4,B1,3.61,27.5,0.12,2.0,4.0,3,A2,48.72,0.0002,5.0,1.0,0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,5-4-6,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,4,B1,3.61,27.5,0.12,2.0,4.0,6,B1,33.33,0.07,3.0,3.0,0.12,78.78,0,0,5.0,5.0,0,0
20240307,01,10,5-6-1,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,6,B1,5.53,33.33,0.07,3.0,3.0,1,A2,24.32,0.07,4.0,3.0,0.16999999999999998,84.61,0,0,5.0,5.0,0,0
20240307,01,10,5-6-2,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,6,B1,5.53,33.33,0.07,3.0,3.0,2,A2,36.11,0.04,6.0,2.0,0.16999999999999998,84.61,0,0,5.0,5.0,0,0
20240307,01,10,5-6-3,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,6,B1,5.53,33.33,0.07,3.0,3.0,3,A2,48.72,0.0002,5.0,1.0,0.16999999999999998,84.61,0,0,5.0,5.0,0,0
20240307,01,10,5-6-4,0,5,B1,4.35,51.28,0.24,1.0,5.0,5.2,6,B1,5.53,33.33,0.07,3.0,3.0,4,B1,27.5,0.12,2.0,4.0,0.16999999999999998,84.61,0,0,5.0,5.0,0,0
20240307,01,10,6-1-2,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,1,A2,6.14,24.32,0.07,4.0,3.0,2,A2,36.11,0.04,6.0,2.0,0.0,57.65,0,1,5.0,5.0,0,0
20240307,01,10,6-1-3,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,1,A2,6.14,24.32,0.07,4.0,3.0,3,A2,48.72,0.0002,5.0,1.0,0.0,57.65,0,1,5.0,5.0,0,0
20240307,01,10,6-1-4,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,1,A2,6.14,24.32,0.07,4.0,3.0,4,B1,27.5,0.12,2.0,4.0,0.0,57.65,0,1,5.0,5.0,0,0
20240307,01,10,6-1-5,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,1,A2,6.14,24.32,0.07,4.0,3.0,5,B1,51.28,0.24,1.0,5.0,0.0,57.65,0,1,5.0,5.0,0,0
20240307,01,10,6-2-1,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,2,A2,4.85,36.11,0.04,6.0,2.0,1,A2,24.32,0.07,4.0,3.0,0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,6-2-3,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,2,A2,4.85,36.11,0.04,6.0,2.0,3,A2,48.72,0.0002,5.0,1.0,0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,6-2-4,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,2,A2,4.85,36.11,0.04,6.0,2.0,4,B1,27.5,0.12,2.0,4.0,0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,6-2-5,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,2,A2,4.85,36.11,0.04,6.0,2.0,5,B1,51.28,0.24,1.0,5.0,0.030000000000000006,69.44,0,0,5.0,5.0,0,0
20240307,01,10,6-3-1,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,3,A2,6.45,48.72,0.0002,5.0,1.0,1,A2,24.32,0.07,4.0,3.0,0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,6-3-2,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,3,A2,6.45,48.72,0.0002,5.0,1.0,2,A2,36.11,0.04,6.0,2.0,0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,6-3-4,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,3,A2,6.45,48.72,0.0002,5.0,1.0,4,B1,27.5,0.12,2.0,4.0,0.0698,82.05,0,0,5.0,5.0,0,0
20240307,01,10,6-3-5,0,6,B1,5.53,33.33,0.07,3.0,3.0,0.0,3,A2,6.45,48.72,0.0002,5.0,1.0,5,B1,51.28,0.24,1.0,5.0,0.0698,82.05,0,0,5.0,5.0,0,0
