hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240203,02,10,1,3780,魚谷 智之,A1,48,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,7.24,52.08,70.14,5.92,33.33,58.33,28.0,27.59,42.24,25.0,40.17,50.43,51.0,-0.5,6.76,0.0012,1,73.8,93.8,0.14,0.0,0.0,0.0,3.0,4,1,13.020999999999999,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,10,2,3381,滝沢 芳行,A2,55,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.32,37.0,52.0,5.19,38.1,50.79,19.0,44.17,61.67,18.0,29.2,39.82,51.5,-0.5,6.75,0.0014000000000000002,1,15.5,64.4,0.13,5.0,1.0,0.0,1.0,3,2,16.743,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,10,3,4324,海野 康志郎,A1,36,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,6.99,49.31,72.92,7.11,44.44,77.78,16.0,45.04,64.89,57.0,26.13,46.85,57.6,-0.5,6.7,0.13,0,20.6,74.6,0.15,1.0,0.0,9.0,3.0,2,4,17.806,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,10,4,4973,栗原 直也,B1,31,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.57,19.13,28.7,5.54,37.14,51.43,7.0,34.19,47.01,59.0,33.64,48.18,52.0,0.0,6.67,0.14,0,11.5,61.5,0.13,3.0,0.0,0.0,0.0,1,5,12.399,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,10,5,3436,柏野 幸二,A2,54,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.82,40.0,61.6,8.13,68.75,87.5,20.0,47.41,63.7,53.0,27.36,43.4,51.0,-0.5,6.67,0.08,0,0.0,38.4,0.13,0.0,0.0,0.0,0.0,1,3,17.915,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,10,6,3546,中里 昌志,B1,54,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.93,29.7,46.53,5.7,34.29,65.71,31.0,44.12,64.71,67.0,27.83,40.87,52.0,-0.5,6.8,0.16,0,0.0,12.5,0.18,0.0,0.0,0.0,0.0,5,6,429496745.694,15.856666666666664,143165592.00266668,143165576.14600003,0.010000000000000009,-0.06000000000000001,0.08,0,0,0,3-2-6
20240203,02,11,1,4150,山田 雄太,A2,41,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,6.56,50.89,66.96,6.25,50.0,68.75,14.0,30.91,42.73,26.0,30.7,43.86,54.6,0.0,6.7,0.01,0,58.0,84.0,0.14,0.0,0.0,0.0,1.0,2,5,13.209,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,11,2,3445,加藤 高史,A2,54,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,5.31,31.33,50.6,5.41,32.5,52.5,22.0,27.83,50.43,44.0,36.84,57.89,52.0,-0.5,6.77,0.0001,1,9.6,51.6,0.16,2.0,1.0,0.0,0.0,6,1,11.934999999999999,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,11,3,4488,小山 勉,A2,37,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,6.2,45.61,61.4,5.47,30.77,53.85,64.0,34.92,57.94,21.0,26.32,44.74,51.5,-0.5,6.75,0.0006,1,15.5,73.3,0.16,4.0,2.0,1.0,0.0,5,4,14.296000000000001,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,11,4,4983,前田 篤哉,A1,27,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,6.58,49.66,69.39,5.64,36.36,63.64,6.0,41.35,54.14,68.0,36.21,51.72,51.0,0.0,6.66,0.0002,1,8.5,63.8,0.17,0.0,2.0,2.0,0.0,1,2,16.653,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,11,5,4109,谷津 幸宏,A1,43,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,6.3,46.09,67.97,5.9,39.45,63.3,36.0,38.84,61.98,77.0,25.77,41.24,52.0,0.0,6.74,0.0004,1,12.0,56.0,0.14,2.0,2.0,1.0,1.0,4,3,15.632,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,11,6,4076,杉田 篤光,A2,45,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,抜き,5.66,34.43,55.74,5.23,28.21,53.85,4.0,20.59,39.22,11.0,25.89,41.96,52.6,-0.5,6.71,0.08,0,0.0,27.9,0.2,0.0,0.0,0.0,0.0,3,6,429496739.073,13.146666666666667,143165590.45266667,143165577.306,-0.00039999999999999996,0.0002,0.0796,0,0,0,1-2-3
20240203,02,12,1,4505,島田 賢人,A1,35,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,6.46,48.0,62.4,6.66,50.53,70.53,18.0,37.98,53.49,32.0,47.37,64.21,53.2,-0.5,6.79,0.04,0,77.5,93.8,0.14,0.0,0.0,0.0,2.0,5,5,15.269999999999998,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,12,2,4640,山ノ内 雅人,A2,32,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,5.98,42.98,60.33,6.65,47.06,64.71,62.0,22.61,37.39,54.0,27.55,41.84,52.3,-0.5,6.66,0.0002,1,13.3,64.4,0.13,4.0,2.0,0.0,0.0,1,2,10.671,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,12,3,4826,井上 一輝,A1,29,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,7.25,60.0,73.33,6.68,54.55,68.18,13.0,20.65,40.22,43.0,33.33,49.55,51.5,0.0,6.72,0.0002,1,26.8,78.0,0.16,4.0,1.0,1.0,5.0,3,2,10.844999999999999,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,12,4,3992,関口 智久,B1,45,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,4.29,20.97,37.1,5.91,44.19,53.49,8.0,51.18,64.57,70.0,42.31,61.54,52.5,-0.5,6.67,0.0001,1,15.0,35.0,0.15,3.0,0.0,0.0,0.0,2,1,18.327999999999996,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,12,5,4809,外崎 悟,A2,35,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,6.08,42.24,63.79,6.2,51.43,65.71,65.0,37.4,52.85,56.0,26.09,46.09,52.0,-0.5,6.75,0.03,0,4.5,43.1,0.13,1.0,0.0,1.0,0.0,4,4,14.967999999999998,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,12,6,4532,秋元 哲,A1,35,晴,17,0.0,0.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,6.61,48.09,62.6,5.83,42.57,59.41,2.0,20.49,35.25,27.0,44.55,59.09,51.0,0.0,6.89,0.0011,1,4.0,40.0,0.15,0.0,1.0,0.0,0.0,6,3,10.312999999999999,12.261999999999999,14.536333333333332,2.274333333333333,-0.0001,0.0299,-0.0289,0,0,0,1-3-2
20240203,02,1,1,3748,小黒 竜吾,B1,48,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.88,16.48,27.47,4.92,30.67,48.0,25.0,36.36,55.3,22.0,16.96,33.04,54.5,-0.5,6.69,0.01,0,26.0,47.8,0.16,0.0,0.0,0.0,0.0,1,2,13.536,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,0,0,0,2-4-1
20240203,02,1,2,3882,新田 智彰,B1,50,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.52,26.8,40.21,6.07,35.71,64.29,60.0,26.85,48.15,17.0,30.97,44.25,54.0,-0.5,6.83,0.07,0,14.6,48.7,0.17,2.0,3.0,0.0,1.0,5,4,10.866999999999999,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,0,0,0,2-4-1
20240203,02,1,3,5225,斎藤 凜,B2,22,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,1.58,0.0,2.63,1.39,0.0,0.0,34.0,33.64,45.79,55.0,34.75,55.93,55.0,-0.5,6.8,0.09,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,3,5,11.040000000000001,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,0,0,0,2-4-1
20240203,02,1,4,4179,広次 修,B1,40,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.28,30.41,52.7,4.1,20.0,30.0,12.0,32.11,43.12,13.0,34.68,49.19,52.0,0.0,6.78,0.0003,1,9.3,53.4,0.17,3.0,0.0,1.0,0.0,2,1,13.200999999999999,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,1,0,0,2-4-1
20240203,02,1,5,5266,石田 勇斗,B2,23,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,1.6,0.0,2.94,1.63,0.0,5.26,1.0,30.69,43.56,28.0,33.64,46.73,53.1,-0.5,6.88,0.03,0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,6,3,10.367,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,0,0,0,2-4-1
20240203,02,1,6,4635,峰重 力也,B1,33,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.97,33.7,50.0,5.71,57.14,57.14,17.0,27.5,48.33,19.0,28.81,47.46,53.0,-0.5,6.82,0.07,0,7.4,33.3,0.1,1.0,0.0,0.0,0.0,4,4,11.331999999999999,11.814333333333332,11.633333333333333,-0.18099999999999916,-0.0897,0.029699999999999997,0.04000000000000001,0,0,0,2-4-1
20240203,02,2,1,4865,立具 敬司,B1,33,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,4.17,16.05,40.74,5.71,42.86,57.14,5.0,31.4,56.2,73.0,28.16,53.4,,,,,,19.0,66.6,0.18,0.0,0.0,0.0,0.0,1,1,12.322000000000001,15.325999999999999,12.231,-3.094999999999999,,,,0,0,1,3-1-2
20240203,02,2,2,3546,中里 昌志,B1,54,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,4.93,29.7,46.53,5.7,34.29,65.71,31.0,44.12,64.71,67.0,27.83,40.87,,,,,,4.8,53.6,0.18,0.0,2.0,0.0,0.0,1,1,16.593999999999998,15.325999999999999,12.231,-3.094999999999999,,,,0,0,1,3-1-2
20240203,02,2,3,3327,野長瀬 正孝,A2,56,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,5.8,40.14,61.97,4.85,20.0,50.0,54.0,43.94,60.61,72.0,35.14,45.95,,,,,,13.7,63.7,0.16,1.0,2.0,4.0,1.0,1,1,17.061999999999998,15.325999999999999,12.231,-3.094999999999999,,,,0,0,1,3-1-2
20240203,02,2,4,5120,山本 稔太朗,A2,22,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,5.29,37.11,53.61,4.36,21.43,42.86,27.0,33.91,48.7,14.0,36.44,55.08,,,,,,0.0,50.0,0.16,0.0,0.0,0.0,0.0,1,1,13.746999999999998,15.325999999999999,12.231,-3.094999999999999,,,,,0,1,3-1-2
20240203,02,2,5,4917,岩橋 裕馬,B1,35,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,4.44,21.1,34.86,3.24,9.52,23.81,24.0,31.15,48.36,74.0,26.8,48.45,,,,,,4.8,26.8,0.15,0.0,0.0,2.0,0.0,1,1,12.408999999999999,15.325999999999999,12.231,-3.094999999999999,,,,0,0,1,3-1-2
20240203,02,2,6,3664,鈴木 賢一,B1,53,晴,6,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり差し,4.99,40.38,46.15,5.68,47.06,54.9,26.0,23.81,40.95,29.0,35.14,47.75,,,,,,0.0,7.4,0.19,0.0,0.0,0.0,0.0,1,1,10.537,15.325999999999999,12.231,-3.094999999999999,,,,0,0,1,3-1-2
20240203,02,3,1,5181,森 智哉,B1,25,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.52,25.23,42.34,3.7,4.35,39.13,55.0,30.09,51.33,66.0,34.19,49.57,51.5,-0.5,6.77,0.05,0,18.1,40.9,0.17,0.0,0.0,0.0,0.0,3,3,11.938999999999998,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,0,0,0,3-1-4
20240203,02,3,2,4809,外崎 悟,A2,35,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,6.08,42.24,63.79,6.2,51.43,65.71,65.0,37.4,52.85,56.0,26.09,46.09,52.0,-0.5,6.76,0.07,0,11.3,68.1,0.17,0.0,3.0,0.0,2.0,2,4,14.967999999999998,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,0,0,0,3-1-4
20240203,02,3,3,4973,栗原 直也,B1,31,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.57,19.13,28.7,5.54,37.14,51.43,7.0,34.19,47.01,59.0,33.64,48.18,52.0,0.0,6.8,0.14,0,10.3,51.7,0.17,2.0,0.0,1.0,0.0,4,6,429496741.899,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,0,0,0,3-1-4
20240203,02,3,4,4488,小山 勉,A2,37,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,6.2,45.61,61.4,5.47,30.77,53.85,64.0,34.92,57.94,21.0,26.32,44.74,51.5,-0.5,6.8,0.09,0,10.2,53.8,0.15,1.0,0.0,2.0,1.0,4,5,14.196000000000002,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,1,0,0,3-1-4
20240203,02,3,5,5300,横田 海人,B2,21,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,1.6,1.43,4.29,1.29,0.0,0.0,38.0,35.4,47.79,31.0,21.82,40.0,53.8,-0.5,6.86,0.0001,1,0.0,0.0,0.16,0.0,0.0,0.0,0.0,5,1,11.979999999999999,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,0,0,0,3-1-4
20240203,02,3,6,4693,松下 誉士,B1,39,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.41,23.42,41.44,2.86,14.29,28.57,9.0,30.09,44.25,69.0,27.59,44.83,52.3,-0.5,6.75,0.01,0,0.0,10.8,0.16,0.0,0.0,0.0,0.0,1,2,11.972999999999999,143165589.602,12.716333333333333,-143165576.88566667,-0.05000000000000002,-0.0899,0.0099,0,0,0,3-1-4
20240203,02,4,1,5206,梅原 祥平,B1,26,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,3.51,17.44,26.74,0.0,0.0,0.0,23.0,26.47,43.14,30.0,33.0,52.0,51.5,-0.5,6.72,0.17,0,25.0,60.0,0.18,0.0,0.0,0.0,0.0,2,5,10.046999999999999,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,4,2,4109,谷津 幸宏,A1,43,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,6.3,46.09,67.97,5.9,39.45,63.3,36.0,38.84,61.98,77.0,25.77,41.24,52.0,-0.5,6.7,0.05,0,16.0,78.0,0.12,1.0,7.0,0.0,0.0,1,3,15.632,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,4,3,3992,関口 智久,B1,45,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,4.29,20.97,37.1,5.91,44.19,53.49,8.0,51.18,64.57,70.0,42.31,61.54,52.5,-0.5,6.7,0.01,0,0.0,31.8,0.17,0.0,0.0,0.0,0.0,1,1,18.327999999999996,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,4,4,4700,金子 和之,A2,36,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,5.43,37.14,56.19,5.75,44.71,58.82,32.0,35.34,47.41,12.0,32.28,56.69,52.0,-0.5,6.79,0.03,0,8.1,45.9,0.18,1.0,1.0,0.0,1.0,4,2,14.16,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,4,5,4054,福嶋 智之,B1,45,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,4.87,34.88,48.84,0.0,0.0,0.0,57.0,27.18,43.69,71.0,22.99,36.78,52.3,-0.5,6.81,0.14,0,2.1,19.5,0.14,0.0,0.0,1.0,0.0,5,4,11.176,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,4,6,4150,山田 雄太,A2,41,晴,8,4.0,2.0,BP栗橋カップ開設記念・サンスポZBAT！杯,逃げ,6.56,50.89,66.96,6.25,50.0,68.75,14.0,30.91,42.73,26.0,30.7,43.86,54.6,-0.5,6.74,0.19,0,4.4,20.0,0.14,1.0,0.0,0.0,1.0,3,6,429496742.709,14.668999999999997,143165589.34833333,143165574.67933333,0.019999999999999997,0.11000000000000001,0.04999999999999999,0,0,0,1-3-2
20240203,02,5,1,4846,佐藤 駿介,B1,30,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.98,24.76,35.24,0.0,0.0,0.0,21.0,42.28,53.66,51.0,45.05,63.06,52.0,-0.5,6.7,0.05,0,43.4,65.2,0.14,0.0,0.0,0.0,0.0,1,4,15.171999999999999,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,5,2,4898,菊地 敬介,B1,32,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.48,12.96,24.07,5.23,23.33,60.0,53.0,33.03,51.38,64.0,28.57,46.43,55.8,-0.5,6.75,0.0005,1,0.0,21.4,0.15,0.0,0.0,0.0,0.0,3,2,12.297,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,5,3,3780,魚谷 智之,A1,48,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,7.24,52.08,70.14,5.92,33.33,58.33,28.0,27.59,42.24,25.0,40.17,50.43,51.0,-0.5,6.84,0.0001,1,12.2,71.4,0.17,1.0,0.0,4.0,1.0,5,1,13.020999999999999,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,5,4,4324,海野 康志郎,A1,36,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,6.99,49.31,72.92,7.11,44.44,77.78,16.0,45.04,64.89,57.0,26.13,46.85,57.6,-0.5,6.78,0.01,0,4.3,50.0,0.14,0.0,2.0,0.0,0.0,4,3,17.906,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,5,5,3748,小黒 竜吾,B1,48,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.88,16.48,27.47,4.92,30.67,48.0,25.0,36.36,55.3,22.0,16.96,33.04,54.5,-0.5,6.71,0.11,0,6.0,27.2,0.15,1.0,0.0,1.0,0.0,2,6,429496742.736,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,5,6,5266,石田 勇斗,B2,23,晴,8,3.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,1.6,0.0,2.94,1.63,0.0,5.26,1.0,30.69,43.56,28.0,33.64,46.73,53.1,-0.5,6.78,0.06,0,0.0,2.7,0.19,0.0,0.0,0.0,0.0,4,5,10.167000000000002,13.496666666666668,143165590.26966667,143165576.773,0.0099,0.1,-0.05,0,0,0,3-4-2
20240203,02,6,1,3722,西村 秀樹,B1,53,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,3.5,13.16,22.37,3.09,0.0,18.18,3.0,24.77,42.2,52.0,41.44,59.46,51.5,-0.5,6.79,0.06,0,19.0,47.6,0.14,0.0,0.0,0.0,0.0,2,3,9.730999999999998,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,0,0,0,3-1-6
20240203,02,6,2,3436,柏野 幸二,A2,54,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.82,40.0,61.6,8.13,68.75,87.5,20.0,47.41,63.7,53.0,27.36,43.4,51.0,-0.5,6.81,0.08,0,13.5,64.8,0.13,0.0,4.0,0.0,1.0,4,4,17.815,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,0,0,0,3-1-6
20240203,02,6,3,3305,小野 信樹,B1,56,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.31,24.21,35.79,5.56,44.44,44.44,56.0,40.0,58.26,16.0,41.59,59.29,52.7,-0.5,6.81,0.14,0,13.3,53.3,0.19,2.0,0.0,2.0,0.0,4,5,14.586,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,0,0,0,3-1-6
20240203,02,6,4,5225,斎藤 凜,B2,22,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,1.58,0.0,2.63,1.39,0.0,0.0,34.0,33.64,45.79,55.0,34.75,55.93,55.3,-0.5,6.82,0.06,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5,3,11.24,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,1,0,0,3-1-6
20240203,02,6,5,3445,加藤 高史,A2,54,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.31,31.33,50.6,5.41,32.5,52.5,22.0,27.83,50.43,44.0,36.84,57.89,52.0,-0.5,6.78,0.0012,1,3.8,46.1,0.18,1.0,0.0,0.0,0.0,1,2,11.834999999999999,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,0,0,0,3-1-6
20240203,02,6,6,3381,滝沢 芳行,A2,55,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.32,37.0,52.0,5.19,38.1,50.79,19.0,44.17,61.67,18.0,29.2,39.82,51.5,-0.5,6.8,0.0004,1,5.5,44.4,0.13,1.0,0.0,0.0,0.0,3,1,16.842999999999996,14.043999999999999,13.305999999999997,-0.7380000000000013,-0.08000000000000002,-0.0588,-0.0007999999999999999,0,0,0,3-1-6
20240203,02,7,1,4076,杉田 篤光,A2,45,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.66,34.43,55.74,5.23,28.21,53.85,4.0,20.59,39.22,11.0,25.89,41.96,52.6,-0.5,6.78,0.07,0,56.2,77.0,0.2,0.0,0.0,0.0,1.0,3,3,9.773,12.25433333333333,10.965333333333332,-1.288999999999998,0.16970000000000002,-0.15000000000000002,0.06999999999999999,0,0,0,3-4-5
20240203,02,7,2,3664,鈴木 賢一,B1,53,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,4.99,40.38,46.15,5.68,47.06,54.9,26.0,23.81,40.95,29.0,35.14,47.75,56.8,-0.5,6.88,0.09,0,14.6,73.1,0.14,5.0,1.0,0.0,0.0,5,4,10.237,12.25433333333333,10.965333333333332,-1.288999999999998,0.16970000000000002,-0.15000000000000002,0.06999999999999999,0,0,0,3-4-5
20240203,02,7,3,4983,前田 篤哉,A1,27,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,6.58,49.66,69.39,5.64,36.36,63.64,6.0,41.35,54.14,68.0,36.21,51.72,51.0,0.0,6.76,0.0003,1,18.7,70.8,0.16,4.0,0.0,5.0,0.0,2,1,16.752999999999997,12.25433333333333,10.965333333333332,-1.288999999999998,0.16970000000000002,-0.15000000000000002,0.06999999999999999,0,0,0,3-4-5
20240203,02,7,4,4826,井上 一輝,A1,29,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,7.25,60.0,73.33,6.68,54.55,68.18,13.0,20.65,40.22,43.0,33.33,49.55,51.5,0.0,6.68,0.17,0,30.0,55.0,0.15,3.0,2.0,4.0,2.0,1,5,10.544999999999998,12.25433333333333,10.965333333333332,-1.288999999999998,0.16970000000000002,-0.15000000000000002,0.06999999999999999,0,0,0,3-4-5
20240203,02,7,5,4640,山ノ内 雅人,A2,32,晴,8,2.0,1.0,BP栗橋カップ開設記念・サンスポZBAT！杯,まくり,5.98,42.98,60.33,6.65,47.06,64.71,62.0,22.61,37.39,54.0,27.55,41.84,52.3,-0.5,6.76,0.02,0,7.3,39.0,0.14,2.0,0.0,1.0,0.0,2,2,10.671,12.25433333333333,10.965333333333332,-1.288999999999998,0.16970000000000002,-0.15000000000000002,0.06999999999999999,0,0,0,3-4-5
