hd,jcd,rno,combo,is_hit,p1_lane,p1_grade,p1_national_win,p1_motor_rate2,p1_tenji_st,p1_tenji_rank,p1_st_rank,p1_course_first_rate,p2_lane,p2_grade,p2_national_win,p2_motor_rate2,p2_tenji_st,p2_tenji_rank,p2_st_rank,p3_lane,p3_grade,p3_motor_rate2,p3_tenji_st,p3_tenji_rank,p3_st_rank,diff_p1p2_st,sum_p1p2_motor,outer_push,in_cover,wind_speed_m,wave_height_cm,is_strong_wind,is_crosswind
20240110,05,10,1-6-5,0,1,A2,5.4,29.63,0.09,1.0,4.0,38.8,6,A2,6.37,27.35,0.07,3.0,3.0,5,B1,34.72,0.09,4.0,4.0,0.01999999999999999,56.980000000000004,0,0,2.0,2.0,0,0
20240110,05,10,2-1-3,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,1,A2,5.4,29.63,0.09,1.0,4.0,3,B1,34.39,0.09,5.0,4.0,-0.03,62.31,0,1,2.0,2.0,0,0
20240110,05,10,2-1-4,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,1,A2,5.4,29.63,0.09,1.0,4.0,4,B1,37.41,0.03,1.0,1.0,-0.03,62.31,0,1,2.0,2.0,0,0
20240110,05,10,2-1-5,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,1,A2,5.4,29.63,0.09,1.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.03,62.31,0,1,2.0,2.0,0,0
20240110,05,10,2-1-6,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,1,A2,5.4,29.63,0.09,1.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.03,62.31,0,1,2.0,2.0,0,0
20240110,05,10,2-3-1,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,3,B1,4.75,34.39,0.09,5.0,4.0,1,A2,29.63,0.09,1.0,4.0,-0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,2-3-4,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,3,B1,4.75,34.39,0.09,5.0,4.0,4,B1,37.41,0.03,1.0,1.0,-0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,2-3-5,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,3,B1,4.75,34.39,0.09,5.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,2-3-6,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,3,B1,4.75,34.39,0.09,5.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,2-4-1,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,4,B1,5.23,37.41,0.03,1.0,1.0,1,A2,29.63,0.09,1.0,4.0,0.03,70.09,0,0,2.0,2.0,0,0
20240110,05,10,2-4-3,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,4,B1,5.23,37.41,0.03,1.0,1.0,3,B1,34.39,0.09,5.0,4.0,0.03,70.09,0,0,2.0,2.0,0,0
20240110,05,10,2-4-5,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,4,B1,5.23,37.41,0.03,1.0,1.0,5,B1,34.72,0.09,4.0,4.0,0.03,70.09,0,0,2.0,2.0,0,0
20240110,05,10,2-4-6,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,4,B1,5.23,37.41,0.03,1.0,1.0,6,A2,27.35,0.07,3.0,3.0,0.03,70.09,0,0,2.0,2.0,0,0
20240110,05,10,2-5-1,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,5,B1,5.33,34.72,0.09,4.0,4.0,1,A2,29.63,0.09,1.0,4.0,-0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,2-5-3,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,5,B1,5.33,34.72,0.09,4.0,4.0,3,B1,34.39,0.09,5.0,4.0,-0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,2-5-4,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,5,B1,5.33,34.72,0.09,4.0,4.0,4,B1,37.41,0.03,1.0,1.0,-0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,2-5-6,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,5,B1,5.33,34.72,0.09,4.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,2-6-1,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,6,A2,6.37,27.35,0.07,3.0,3.0,1,A2,29.63,0.09,1.0,4.0,-0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,2-6-3,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,6,A2,6.37,27.35,0.07,3.0,3.0,3,B1,34.39,0.09,5.0,4.0,-0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,2-6-4,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,6,A2,6.37,27.35,0.07,3.0,3.0,4,B1,37.41,0.03,1.0,1.0,-0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,2-6-5,0,2,A2,5.85,32.68,0.06,2.0,2.0,17.6,6,A2,6.37,27.35,0.07,3.0,3.0,5,B1,34.72,0.09,4.0,4.0,-0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,3-1-2,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,2,A2,32.68,0.06,2.0,2.0,0.0,64.02,0,1,2.0,2.0,0,0
20240110,05,10,3-1-4,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,4,B1,37.41,0.03,1.0,1.0,0.0,64.02,0,1,2.0,2.0,0,0
20240110,05,10,3-1-5,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,5,B1,34.72,0.09,4.0,4.0,0.0,64.02,0,1,2.0,2.0,0,0
20240110,05,10,3-1-6,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,6,A2,27.35,0.07,3.0,3.0,0.0,64.02,0,1,2.0,2.0,0,0
20240110,05,10,3-2-1,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,1,A2,29.63,0.09,1.0,4.0,0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,3-2-4,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,4,B1,37.41,0.03,1.0,1.0,0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,3-2-5,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,5,B1,34.72,0.09,4.0,4.0,0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,3-2-6,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,6,A2,27.35,0.07,3.0,3.0,0.03,67.07,0,0,2.0,2.0,0,0
20240110,05,10,3-4-1,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,4,B1,5.23,37.41,0.03,1.0,1.0,1,A2,29.63,0.09,1.0,4.0,0.06,71.8,0,0,2.0,2.0,0,0
20240110,05,10,3-4-2,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,4,B1,5.23,37.41,0.03,1.0,1.0,2,A2,32.68,0.06,2.0,2.0,0.06,71.8,0,0,2.0,2.0,0,0
20240110,05,10,3-4-5,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,4,B1,5.23,37.41,0.03,1.0,1.0,5,B1,34.72,0.09,4.0,4.0,0.06,71.8,0,0,2.0,2.0,0,0
20240110,05,10,3-4-6,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,4,B1,5.23,37.41,0.03,1.0,1.0,6,A2,27.35,0.07,3.0,3.0,0.06,71.8,0,0,2.0,2.0,0,0
20240110,05,10,3-5-1,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,1,A2,29.63,0.09,1.0,4.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,3-5-2,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,2,A2,32.68,0.06,2.0,2.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,3-5-4,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,4,B1,37.41,0.03,1.0,1.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,3-5-6,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,6,A2,27.35,0.07,3.0,3.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,3-6-1,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,1,A2,29.63,0.09,1.0,4.0,0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,3-6-2,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,2,A2,32.68,0.06,2.0,2.0,0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,3-6-4,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,4,B1,37.41,0.03,1.0,1.0,0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,3-6-5,0,3,B1,4.75,34.39,0.09,5.0,4.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,5,B1,34.72,0.09,4.0,4.0,0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,4-1-2,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,2,A2,32.68,0.06,2.0,2.0,-0.06,67.03999999999999,1,1,2.0,2.0,0,0
20240110,05,10,4-1-3,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,3,B1,34.39,0.09,5.0,4.0,-0.06,67.03999999999999,1,1,2.0,2.0,0,0
20240110,05,10,4-1-5,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.06,67.03999999999999,1,1,2.0,2.0,0,0
20240110,05,10,4-1-6,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,1,A2,5.4,29.63,0.09,1.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.06,67.03999999999999,1,1,2.0,2.0,0,0
20240110,05,10,4-2-1,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,1,A2,29.63,0.09,1.0,4.0,-0.03,70.09,1,0,2.0,2.0,0,0
20240110,05,10,4-2-3,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,3,B1,34.39,0.09,5.0,4.0,-0.03,70.09,1,0,2.0,2.0,0,0
20240110,05,10,4-2-5,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,5,B1,34.72,0.09,4.0,4.0,-0.03,70.09,1,0,2.0,2.0,0,0
20240110,05,10,4-2-6,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,2,A2,5.85,32.68,0.06,2.0,2.0,6,A2,27.35,0.07,3.0,3.0,-0.03,70.09,1,0,2.0,2.0,0,0
20240110,05,10,4-3-1,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,3,B1,4.75,34.39,0.09,5.0,4.0,1,A2,29.63,0.09,1.0,4.0,-0.06,71.8,1,0,2.0,2.0,0,0
20240110,05,10,4-3-2,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,3,B1,4.75,34.39,0.09,5.0,4.0,2,A2,32.68,0.06,2.0,2.0,-0.06,71.8,1,0,2.0,2.0,0,0
20240110,05,10,4-3-5,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,3,B1,4.75,34.39,0.09,5.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.06,71.8,1,0,2.0,2.0,0,0
20240110,05,10,4-3-6,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,3,B1,4.75,34.39,0.09,5.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.06,71.8,1,0,2.0,2.0,0,0
20240110,05,10,4-5-1,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,1,A2,29.63,0.09,1.0,4.0,-0.06,72.13,1,0,2.0,2.0,0,0
20240110,05,10,4-5-2,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,2,A2,32.68,0.06,2.0,2.0,-0.06,72.13,1,0,2.0,2.0,0,0
20240110,05,10,4-5-3,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,3,B1,34.39,0.09,5.0,4.0,-0.06,72.13,1,0,2.0,2.0,0,0
20240110,05,10,4-5-6,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,5,B1,5.33,34.72,0.09,4.0,4.0,6,A2,27.35,0.07,3.0,3.0,-0.06,72.13,1,0,2.0,2.0,0,0
20240110,05,10,4-6-1,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,1,A2,29.63,0.09,1.0,4.0,-0.04000000000000001,64.75999999999999,1,0,2.0,2.0,0,0
20240110,05,10,4-6-2,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,2,A2,32.68,0.06,2.0,2.0,-0.04000000000000001,64.75999999999999,1,0,2.0,2.0,0,0
20240110,05,10,4-6-3,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,3,B1,34.39,0.09,5.0,4.0,-0.04000000000000001,64.75999999999999,1,0,2.0,2.0,0,0
20240110,05,10,4-6-5,0,4,B1,5.23,37.41,0.03,1.0,1.0,0.0,6,A2,6.37,27.35,0.07,3.0,3.0,5,B1,34.72,0.09,4.0,4.0,-0.04000000000000001,64.75999999999999,1,0,2.0,2.0,0,0
20240110,05,10,5-1-2,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,1,A2,5.4,29.63,0.09,1.0,4.0,2,A2,32.68,0.06,2.0,2.0,0.0,64.35,0,1,2.0,2.0,0,0
20240110,05,10,5-1-3,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,1,A2,5.4,29.63,0.09,1.0,4.0,3,B1,34.39,0.09,5.0,4.0,0.0,64.35,0,1,2.0,2.0,0,0
20240110,05,10,5-1-4,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,1,A2,5.4,29.63,0.09,1.0,4.0,4,B1,37.41,0.03,1.0,1.0,0.0,64.35,0,1,2.0,2.0,0,0
20240110,05,10,5-1-6,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,1,A2,5.4,29.63,0.09,1.0,4.0,6,A2,27.35,0.07,3.0,3.0,0.0,64.35,0,1,2.0,2.0,0,0
20240110,05,10,5-2-1,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,2,A2,5.85,32.68,0.06,2.0,2.0,1,A2,29.63,0.09,1.0,4.0,0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,5-2-3,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,2,A2,5.85,32.68,0.06,2.0,2.0,3,B1,34.39,0.09,5.0,4.0,0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,5-2-4,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,2,A2,5.85,32.68,0.06,2.0,2.0,4,B1,37.41,0.03,1.0,1.0,0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,5-2-6,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,2,A2,5.85,32.68,0.06,2.0,2.0,6,A2,27.35,0.07,3.0,3.0,0.03,67.4,0,0,2.0,2.0,0,0
20240110,05,10,5-3-1,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,3,B1,4.75,34.39,0.09,5.0,4.0,1,A2,29.63,0.09,1.0,4.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,5-3-2,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,3,B1,4.75,34.39,0.09,5.0,4.0,2,A2,32.68,0.06,2.0,2.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,5-3-4,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,3,B1,4.75,34.39,0.09,5.0,4.0,4,B1,37.41,0.03,1.0,1.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,5-3-6,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,3,B1,4.75,34.39,0.09,5.0,4.0,6,A2,27.35,0.07,3.0,3.0,0.0,69.11,0,0,2.0,2.0,0,0
20240110,05,10,5-4-1,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,4,B1,5.23,37.41,0.03,1.0,1.0,1,A2,29.63,0.09,1.0,4.0,0.06,72.13,0,0,2.0,2.0,0,0
20240110,05,10,5-4-2,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,4,B1,5.23,37.41,0.03,1.0,1.0,2,A2,32.68,0.06,2.0,2.0,0.06,72.13,0,0,2.0,2.0,0,0
20240110,05,10,5-4-3,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,4,B1,5.23,37.41,0.03,1.0,1.0,3,B1,34.39,0.09,5.0,4.0,0.06,72.13,0,0,2.0,2.0,0,0
20240110,05,10,5-4-6,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,4,B1,5.23,37.41,0.03,1.0,1.0,6,A2,27.35,0.07,3.0,3.0,0.06,72.13,0,0,2.0,2.0,0,0
20240110,05,10,5-6-1,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,6,A2,6.37,27.35,0.07,3.0,3.0,1,A2,29.63,0.09,1.0,4.0,0.01999999999999999,62.07,0,0,2.0,2.0,0,0
20240110,05,10,5-6-2,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,6,A2,6.37,27.35,0.07,3.0,3.0,2,A2,32.68,0.06,2.0,2.0,0.01999999999999999,62.07,0,0,2.0,2.0,0,0
20240110,05,10,5-6-3,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,6,A2,6.37,27.35,0.07,3.0,3.0,3,B1,34.39,0.09,5.0,4.0,0.01999999999999999,62.07,0,0,2.0,2.0,0,0
20240110,05,10,5-6-4,0,5,B1,5.33,34.72,0.09,4.0,4.0,4.2,6,A2,6.37,27.35,0.07,3.0,3.0,4,B1,37.41,0.03,1.0,1.0,0.01999999999999999,62.07,0,0,2.0,2.0,0,0
20240110,05,10,6-1-2,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,1,A2,5.4,29.63,0.09,1.0,4.0,2,A2,32.68,0.06,2.0,2.0,-0.01999999999999999,56.980000000000004,0,1,2.0,2.0,0,0
20240110,05,10,6-1-3,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,1,A2,5.4,29.63,0.09,1.0,4.0,3,B1,34.39,0.09,5.0,4.0,-0.01999999999999999,56.980000000000004,0,1,2.0,2.0,0,0
20240110,05,10,6-1-4,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,1,A2,5.4,29.63,0.09,1.0,4.0,4,B1,37.41,0.03,1.0,1.0,-0.01999999999999999,56.980000000000004,0,1,2.0,2.0,0,0
20240110,05,10,6-1-5,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,1,A2,5.4,29.63,0.09,1.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.01999999999999999,56.980000000000004,0,1,2.0,2.0,0,0
20240110,05,10,6-2-1,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,2,A2,5.85,32.68,0.06,2.0,2.0,1,A2,29.63,0.09,1.0,4.0,0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,6-2-3,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,2,A2,5.85,32.68,0.06,2.0,2.0,3,B1,34.39,0.09,5.0,4.0,0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,6-2-4,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,2,A2,5.85,32.68,0.06,2.0,2.0,4,B1,37.41,0.03,1.0,1.0,0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,6-2-5,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,2,A2,5.85,32.68,0.06,2.0,2.0,5,B1,34.72,0.09,4.0,4.0,0.010000000000000009,60.03,0,0,2.0,2.0,0,0
20240110,05,10,6-3-1,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,3,B1,4.75,34.39,0.09,5.0,4.0,1,A2,29.63,0.09,1.0,4.0,-0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,6-3-2,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,3,B1,4.75,34.39,0.09,5.0,4.0,2,A2,32.68,0.06,2.0,2.0,-0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,6-3-4,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,3,B1,4.75,34.39,0.09,5.0,4.0,4,B1,37.41,0.03,1.0,1.0,-0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,6-3-5,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,3,B1,4.75,34.39,0.09,5.0,4.0,5,B1,34.72,0.09,4.0,4.0,-0.01999999999999999,61.74,0,0,2.0,2.0,0,0
20240110,05,10,6-4-1,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,4,B1,5.23,37.41,0.03,1.0,1.0,1,A2,29.63,0.09,1.0,4.0,0.04000000000000001,64.75999999999999,0,0,2.0,2.0,0,0
20240110,05,10,6-4-2,0,6,A2,6.37,27.35,0.07,3.0,3.0,6.0,4,B1,5.23,37.41,0.03,1.0,1.0,2,A2,32.68,0.06,2.0,2.0,0.04000000000000001,64.75999999999999,0,0,2.0,2.0,0,0
